zipcode,cases,date
55426,369,8/6/20
55427,325,8/6/20
55428,972,8/6/20
55429,677,8/6/20
55430,616,8/6/20
55431,189,8/6/20
55432,546,8/6/20
55433,406,8/6/20
55434,304,8/6/20
55435,163,8/6/20
55436,172,8/6/20
55437,222,8/6/20
55438,143,8/6/20
55439,70,8/6/20
55441,184,8/6/20
55442,84,8/6/20
55443,789,8/6/20
55444,321,8/6/20
55445,235,8/6/20
55446,201,8/6/20
55447,167,8/6/20
55448,325,8/6/20
55449,262,8/6/20
55450,<=5,8/6/20
55454,313,8/6/20
55455,6,8/6/20
55601,0,8/6/20
55602,0,8/6/20
55603,<=5,8/6/20
55604,<=5,8/6/20
55605,0,8/6/20
55606,0,8/6/20
55607,<=5,8/6/20
55609,<=5,8/6/20
55612,0,8/6/20
55613,0,8/6/20
55614,11,8/6/20
55615,<=5,8/6/20
55616,6,8/6/20
55702,<=5,8/6/20
55703,0,8/6/20
55704,<=5,8/6/20
55705,<=5,8/6/20
55706,<=5,8/6/20
55707,13,8/6/20
55708,0,8/6/20
55709,22,8/6/20
55710,<=5,8/6/20
55711,<=5,8/6/20
55712,<=5,8/6/20
55713,0,8/6/20
55716,<=5,8/6/20
55717,0,8/6/20
55718,<=5,8/6/20
55719,<=5,8/6/20
55720,36,8/6/20
55721,7,8/6/20
55722,<=5,8/6/20
55723,0,8/6/20
55724,<=5,8/6/20
55725,0,8/6/20
55726,<=5,8/6/20
55731,<=5,8/6/20
55732,<=5,8/6/20
55733,10,8/6/20
55734,<=5,8/6/20
55735,<=5,8/6/20
55736,<=5,8/6/20
55738,0,8/6/20
55741,6,8/6/20
55742,<=5,8/6/20
55744,58,8/6/20
55746,22,8/6/20
55748,<=5,8/6/20
55749,<=5,8/6/20
55750,<=5,8/6/20
55751,0,8/6/20
55752,<=5,8/6/20
55753,<=5,8/6/20
55756,0,8/6/20
55757,<=5,8/6/20
55758,0,8/6/20
55760,<=5,8/6/20
55763,0,8/6/20
55764,0,8/6/20
55765,24,8/6/20
55766,0,8/6/20
55767,52,8/6/20
55768,<=5,8/6/20
55769,11,8/6/20
55771,<=5,8/6/20
55772,0,8/6/20
55775,7,8/6/20
55779,10,8/6/20
55780,<=5,8/6/20
55781,<=5,8/6/20
55782,<=5,8/6/20
55783,10,8/6/20
55784,0,8/6/20
55785,<=5,8/6/20
55786,9,8/6/20
55787,0,8/6/20
55790,<=5,8/6/20
55792,6,8/6/20
55793,<=5,8/6/20
55795,77,8/6/20
55797,<=5,8/6/20
55798,<=5,8/6/20
55802,12,8/6/20
55803,50,8/6/20
55804,36,8/6/20
55805,69,8/6/20
55806,25,8/6/20
55807,25,8/6/20
55808,32,8/6/20
55810,17,8/6/20
55811,79,8/6/20
55812,26,8/6/20
55814,0,8/6/20
55901,737,8/6/20
55902,138,8/6/20
55904,487,8/6/20
55905,<=5,8/6/20
55906,162,8/6/20
55909,9,8/6/20
55910,0,8/6/20
55912,1021,8/6/20
55917,14,8/6/20
55918,<=5,8/6/20
55919,<=5,8/6/20
55920,42,8/6/20
55921,<=5,8/6/20
55922,0,8/6/20
55923,11,8/6/20
55924,11,8/6/20
55925,<=5,8/6/20
55926,<=5,8/6/20
55927,26,8/6/20
55929,6,8/6/20
55931,<=5,8/6/20
55932,8,8/6/20
55933,<=5,8/6/20
55934,13,8/6/20
55935,0,8/6/20
55936,9,8/6/20
55939,8,8/6/20
55940,17,8/6/20
55941,<=5,8/6/20
55943,<=5,8/6/20
55944,51,8/6/20
55945,12,8/6/20
55946,24,8/6/20
55947,29,8/6/20
55949,<=5,8/6/20
55950,<=5,8/6/20
55951,<=5,8/6/20
55952,10,8/6/20
55953,16,8/6/20
55954,<=5,8/6/20
55955,17,8/6/20
55956,<=5,8/6/20
55957,<=5,8/6/20
55959,<=5,8/6/20
55960,31,8/6/20
55961,<=5,8/6/20
55962,0,8/6/20
55963,25,8/6/20
55964,37,8/6/20
55965,7,8/6/20
55967,10,8/6/20
55968,0,8/6/20
55969,<=5,8/6/20
55970,<=5,8/6/20
55971,9,8/6/20
55972,13,8/6/20
55973,<=5,8/6/20
55974,<=5,8/6/20
55975,27,8/6/20
55976,49,8/6/20
55977,0,8/6/20
55979,<=5,8/6/20
55981,11,8/6/20
55982,<=5,8/6/20
55983,8,8/6/20
55985,7,8/6/20
55987,210,8/6/20
55990,<=5,8/6/20
55991,<=5,8/6/20
55992,21,8/6/20
56001,754,8/6/20
56003,221,8/6/20
56007,308,8/6/20
56009,11,8/6/20
56010,<=5,8/6/20
56011,47,8/6/20
56013,34,8/6/20
56014,<=5,8/6/20
56016,15,8/6/20
56017,<=5,8/6/20
56019,<=5,8/6/20
56020,0,8/6/20
56021,<=5,8/6/20
56022,<=5,8/6/20
56023,<=5,8/6/20
56024,17,8/6/20
56025,<=5,8/6/20
56026,7,8/6/20
56027,10,8/6/20
56028,9,8/6/20
56029,<=5,8/6/20
56031,149,8/6/20
56032,0,8/6/20
56033,<=5,8/6/20
56034,<=5,8/6/20
56035,<=5,8/6/20
56036,8,8/6/20
56037,8,8/6/20
56039,<=5,8/6/20
56041,<=5,8/6/20
56042,0,8/6/20
56043,<=5,8/6/20
56044,8,8/6/20
56045,<=5,8/6/20
56046,<=5,8/6/20
56047,0,8/6/20
56048,42,8/6/20
56050,19,8/6/20
56051,<=5,8/6/20
56052,6,8/6/20
56054,0,8/6/20
56055,32,8/6/20
56056,0,8/6/20
56057,35,8/6/20
56058,28,8/6/20
56060,0,8/6/20
56062,85,8/6/20
56063,24,8/6/20
56065,9,8/6/20
56068,6,8/6/20
56069,38,8/6/20
56071,167,8/6/20
56072,14,8/6/20
56073,54,8/6/20
56074,8,8/6/20
56075,<=5,8/6/20
56078,<=5,8/6/20
56080,14,8/6/20
56081,176,8/6/20
56082,94,8/6/20
56083,<=5,8/6/20
56085,22,8/6/20
56087,13,8/6/20
56088,19,8/6/20
56089,0,8/6/20
56090,6,8/6/20
56091,0,8/6/20
56093,89,8/6/20
56096,28,8/6/20
56097,12,8/6/20
56098,11,8/6/20
56101,124,8/6/20
56110,42,8/6/20
56111,0,8/6/20
56113,<=5,8/6/20
56114,<=5,8/6/20
56115,<=5,8/6/20
56116,<=5,8/6/20
56117,11,8/6/20
56118,<=5,8/6/20
56119,27,8/6/20
56120,36,8/6/20
56121,10,8/6/20
56122,34,8/6/20
56123,<=5,8/6/20
56125,0,8/6/20
56127,<=5,8/6/20
56128,23,8/6/20
56129,13,8/6/20
56131,40,8/6/20
56132,0,8/6/20
56134,<=5,8/6/20
